Date,Open,High,Low,Close,Volume
4/15/2024 15:30:00,188,192.4,184.5,188.3,48456568
4/16/2024 15:30:00,187,189.3,183.9,186.45,43273463
4/18/2024 15:30:00,188.5,189.25,183,185.2,35346377
4/19/2024 15:30:00,182.3,191,181.4,189.2,34112204
4/22/2024 15:30:00,193,197.7,190.8,193.35,28792292
4/23/2024 15:30:00,194.4,194.5,186.6,187.45,35740731
4/24/2024 15:30:00,189,189.1,183.15,184.4,32622315
4/25/2024 15:30:00,184,188.9,182.5,184.7,38839521
4/26/2024 15:30:00,189,190.45,186.35,188.1,33778145
4/29/2024 15:30:00,189.4,194.3,186.45,193.6,33415230
4/30/2024 15:30:00,195,196.95,192.2,193.15,39383265
5/2/2024 15:30:00,193.6,195.95,192.75,195.45,27391448
5/3/2024 15:30:00,196.8,200.35,193.1,197.25,37882274
5/6/2024 15:30:00,199,202,194.5,195.7,26394239
5/7/2024 15:30:00,196.15,196.35,182.35,191.45,48161265
5/8/2024 15:30:00,190.65,196,187.3,195.45,47941406
5/9/2024 15:30:00,195,199.7,193.1,195.25,47274769
5/10/2024 15:30:00,196.35,205,189.9,201.3,52717901
5/13/2024 15:30:00,205.8,207.2,186.75,194.3,114135952
5/14/2024 15:30:00,191.7,193.45,182.1,187.3,110070781
5/15/2024 15:30:00,188.8,193.4,183.15,192,44772997
5/16/2024 15:30:00,192.9,195.85,189,195.2,35478593
5/17/2024 15:30:00,195.15,196,193.1,194.85,20841351
5/21/2024 15:30:00,194.4,196.5,188.75,189.1,33453174
5/22/2024 15:30:00,190,190,183.35,185.5,40374419
5/23/2024 15:30:00,186.5,189.4,184.5,186.8,20931137
5/24/2024 15:30:00,188,188,179.1,182.9,37064093
5/27/2024 15:30:00,183.9,185.45,178.4,183.65,47652253
5/28/2024 15:30:00,184.35,184.8,180.4,181.6,34444521
5/29/2024 15:30:00,180.55,185.4,180,183.35,30888209
5/30/2024 15:30:00,183,185,179,180.6,33684173
5/31/2024 15:30:00,178.8,183.15,171.25,179.15,149283415
6/3/2024 15:30:00,184.5,185.5,175,175.45,53437123
6/4/2024 15:30:00,176.5,176.5,146.3,172,75272859
6/5/2024 15:30:00,175,185.3,166.75,183.8,57213537
6/6/2024 15:30:00,185,185.8,182.5,183.65,20887553
6/7/2024 15:30:00,182.5,187,180.7,184,33175407
6/10/2024 15:30:00,184,186.5,181.56,182.16,33163473
6/11/2024 15:30:00,182.6,186,180.1,184.02,41803815
6/12/2024 15:30:00,184.39,184.88,179.33,179.65,42830411
6/13/2024 15:30:00,183.8,185.8,180.15,184.94,47891484
6/14/2024 15:30:00,185.7,186.6,184.05,186.24,29823712
6/18/2024 15:30:00,187.5,189.1,184.8,188.61,40633379
6/19/2024 15:30:00,190,201,189.56,198.49,112274897
6/20/2024 15:30:00,199.99,201.8,195,197.05,44395214
6/21/2024 15:30:00,197.9,199.95,193.05,193.95,37841138
6/24/2024 15:30:00,193.9,199.8,191.95,198.92,34201378
6/25/2024 15:30:00,201.75,204.7,200,202.27,60670560
6/26/2024 15:30:00,202.56,203.48,196,197.25,38934432
6/27/2024 15:30:00,198.2,201.5,196,200.15,32535933
6/28/2024 15:30:00,201.3,203.92,199.1,200.56,37287397
7/1/2024 15:30:00,199.71,204.5,194.56,203.97,53536850
7/2/2024 15:30:00,204,209.84,202.25,209.09,65698266
7/3/2024 15:30:00,209.45,213.95,205.33,208.44,61479249
7/4/2024 15:30:00,208.39,210.29,206.7,207.44,30004307
7/5/2024 15:30:00,207,208.4,204.77,207.57,29681228
